,date,username,tweet,hashtags,nlikes
154,2020-06-16 13:07:41,mrddmia,"Dear @JoeBiden & Other D Politicians, #Antifa, #BLM, #Cancel Cultists, #Wokesters, & Cheerleaders in the “Mainstream” (Liberal) Media:

Condemning @TheRickWilson at @ProjectLincoln for promoting Confederate flag?

Or do you only stir the racial pot when politically opportunistic?","['#antifa', '#blm', '#cancel', '#wokesters']",74
155,2020-06-16 13:02:57,stopimperialism,Black youth got the fash on the run in the UK. Solidarity from the belly of the fascist beast! #antifa #BLM #BLMLondon https://twitter.com/mxmovement/status/1272970213085110273 …,"['#antifa', '#blm', '#blmlondon']",18
156,2020-06-16 13:02:48,Jruffhouse,If you truly support #BLM I fucks with you.,['#blm'],27
157,2020-06-16 13:02:17,Melissa_J_O,"All across the country, @MomsDemand volunteers are supporting the #JusticeInPolicing Act. It’s a vital step toward stopping police brutality & gun violence.

JOIN US! Send a message to your rep and tell them to pass #HR7120.
 http://bit.ly/3dOVdw8  #twill #BLM #DisarmHate pic.twitter.com/AvmXeEzBXt","['#justiceinpolicing', '#hr7120', '#twill', '#blm', '#disarmhate']",88
158,2020-06-16 13:02:12,jaydee_ell,"I’m doing ANOTHER annotated copy of WELL MET for this auction benefitting #BLM, along with a candle! Link below!  https://twitter.com/laurakcurtis/status/1272899259810164744 …",['#blm'],20
159,2020-06-16 13:02:12,jsirvinskas283,"Hey everyone, quick little math lesson for you! It's called the Transitive Property and it goes like this:

If a=b and b=c, then a=c 

For example:

If all lives matter and black lives are included within all lives, then black lives matter.

Thanks for coming to my Ted Talk #BLM",['#blm'],23
160,2020-06-16 13:01:24,LGBTLewisham,"#Lewisham Safer Neighbourhood Board had a meeting tonight between the board & police. It was confirmed that all of the local #BLM protests were all peaceful, correctly socially distanced and very well self-managed and yet the issues raised were very much heard. #ThankYou 👏","['#lewisham', '#blm', '#thankyou']",11
161,2020-06-16 12:55:21,SunnyStone444,"His words, while speaking volumes about himself, speak  even louder about the NC citizens who voted him into office. When it comes to racism and discrimination it looks like he has an airhead space large enough he could drive a barn through it.
#BLM
#StopTheHate
#VoteBlue","['#blm', '#stopthehate', '#voteblue']",48
162,2020-06-16 12:54:10,kennybroberson,"YO PEEP THIS ABOUT LYNCHINGS!

The Antilynching act has been blocked by exactly ONE Republican Senator- June 4th 2020

We’ve had 4 lynchings of Black people since George Floyd died.

They’re ALL ruled as suicides.

🗣 Black people don’t hang themselves from trees!

#BLM #America","['#blm', '#america']",11
163,2020-06-16 12:53:49,mariellav_,BLACK TRANS LIVES MATTER!!!!!!!!!🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈 #blm #JusticeforDominique 🏳️‍🌈🏳️‍🌈🏳️‍🌈 https://twitter.com/559Broome/status/1272293889961934849 …,"['#blm', '#justicefordominique']",10
164,2020-06-16 12:53:41,gillianmobrien,New knitting on the park railings this evening. #blm #park #knitting #liverpool pic.twitter.com/uIhMehducN,"['#blm', '#park', '#knitting', '#liverpool']",15
165,2020-06-16 12:53:39,Jarlath,"Every time someone says, “We never learned about this in school” I twitch with anger. That’s not an excuse. It’s on you to look stuff up. “Those bastards have hidden all the information in books and public libraries!” #SkyNews #RaceAndRevolution David Oyelowo is amazing. #BLM","['#skynews', '#raceandrevolution', '#blm']",38
166,2020-06-16 12:53:09,DeanHedges3,That is huge. Should be mentioned more #blm,['#blm'],35
167,2020-06-16 12:52:55,LeslieMarshall,"""Seismic shifts on race leave #Trump in the dust.""
Check out the latest piece for @TheHill by my good friend @BradBannon.
 https://thehill.com/opinion/campaign/502715-seismic-shifts-on-race-leave-trump-in-the-dust ….
#BlackLivesMatter #BLM #GeorgeFloyd #BreonnaTaylor #Racism #PoliceReform #Police #Policing","['#trump', '#blacklivesmatter', '#blm', '#georgefloyd', '#breonnataylor', '#racism', '#policereform', '#police', '#policing']",13
168,2020-06-16 12:51:26,lovebscott,That’s what she gets. Watch your mouth. 😆😆😆 #blm #blacklivesmatter #racism  https://www.instagram.com/p/CBgb6tHlYyk/?igshid=38jmezpl7hyp …,"['#blm', '#blacklivesmatter', '#racism']",21
169,2020-06-16 12:48:24,RebelNewsOnline,".@guardian faces cancellation: 

Left-wing British publication was partly founded by slave owner

DETAILS:  https://www.rebelnews.com/the_guardian_faces_cancellation_left_wing_british_publication_was_partly_founded_by_slave_owner …
#UK #BLM #CancelCulture pic.twitter.com/hPHLnjWH7k","['#uk', '#blm', '#cancelculture']",21
170,2020-06-16 12:46:36,impressionist81,"President Trump has signed Prison reform, Police reform, increased funding Historically Black Colleges & Opportunity zones. Had lowest African American Employment. He supports school choice. Yes Trump knows #BLM. Actions not words.",['#blm'],69
171,2020-06-16 12:44:39,US_of_A_1st,"❤ ""I wish they all could be California Girl."" The Beach Boys.
.
""I wish they all could be this smart lady ❤ with common sense."" Me.

#ALM #BLM
#WalkAwayFromDemocratsForever https://twitter.com/KarluskaP/status/1272944760928587782 …","['#alm', '#blm', '#walkawayfromdemocratsforever']",112
